taxonID,parent,synonymOf,name,authorship,taxonRank,status,genus,specificEpithet,infraspecificEpithet
11109915,,9150405.0,Solanum nigrum hirsutum,G.Mey.,variety,heterotypic synonym,Solanum,nigrum,hirsutum
2930390,,9150405.0,Solanum probstianum,Polgar,species,synonym,Solanum,probstianum,
10667137,,9150405.0,Solanum speciosum,Dunal,species,proparte synonym,Solanum,speciosum,
2930255,,9150405.0,Solanum rhinozerothis,Blume,species,synonym,Solanum,rhinozerothis,
12091775,,9150405.0,Solanum nigrum dentata-glabra,Wimm. & Grab.,variety,synonym,Solanum,nigrum,dentata-glabra
11050705,,9150405.0,Solanum pterocaulum deppei,Dunal,variety,synonym,Solanum,pterocaulum,deppei
11042860,,9150405.0,Solanum nigrum vulgatum,L.,variety,synonym,Solanum,nigrum,vulgatum
12122507,,9150405.0,Solanum nigrum pterocaulon,J.J.Schmitz & Regel,variety,heterotypic synonym,Solanum,nigrum,pterocaulon
3800255,,9150405.0,Solanum besserianum,Weinm.,species,synonym,Solanum,besserianum,
8196021,,,Solanum nigrum humile,F.M.Bailey,variety,doubtful,Solanum,nigrum,humile
10944384,,9150405.0,Solanum nigrum vulgatum,Dunal,variety,synonym,Solanum,nigrum,vulgatum
3798905,,9150405.0,Solanum tauschii,Opiz,species,synonym,Solanum,tauschii,
3799750,,9150405.0,Solanum nigrum elbaensis,Täckh. & Boulos,variety,synonym,Solanum,nigrum,elbaensis
2931496,,9150405.0,Solanum cuneifolium,Dunal,species,proparte synonym,Solanum,cuneifolium,
7987431,,9150405.0,Solanum humile,Salisb.,species,heterotypic synonym,Solanum,humile,
3799662,,,Solanum nigrum probstii,"Polg. ex Probst, 1928",variety,accepted,Solanum,nigrum,probstii
7688639,,9150405.0,Solanum astroites,G.Forst.,species,heterotypic synonym,Solanum,astroites,
3799682,,,Solanum nigrum nigrum,"Linnaeus, 1762",subspecies,accepted,Solanum,nigrum,nigrum
3799743,,9150405.0,Solanum nigrum flavidum,S.Z.Liou & W.Q.Wang,variety,synonym,Solanum,nigrum,flavidum
11010918,,9150405.0,Solanum guineense nepalense,Dunal,variety,synonym,Solanum,guineense,nepalense
3800188,,9150405.0,Solanum exaratum,Raf.,species,synonym,Solanum,exaratum,
9130491,,9150405.0,Solanum parviflorum,Moris,species,homotypic synonym,Solanum,parviflorum,
3799659,,,Solanum nigrum pterocaulon,(Dunal) Domin,variety,accepted,Solanum,nigrum,pterocaulon
3802640,,9150405.0,Solanum vulgatum,Willd. ex Steud.,species,synonym,Solanum,vulgatum,
7470786,,9150405.0,Solanum paludosum,Dunal,species,heterotypic synonym,Solanum,paludosum,
10986178,,,Solanum nigrum unranked,"Lowe, 1853",subspecies,doubtful,Solanum,nigrum,
12118574,,9150405.0,Solanum nigrum integrifolia-glabra,Wimm. & Grab.,variety,synonym,Solanum,nigrum,integrifolia-glabra
