taxonID,parent,synonymOf,name,authorship,taxonRank,status
3797668,,7299228,Cestrum amictum parviflorum,(Sendtn.) Dunal,variety,synonym
3797688,,7299228,Cestrum amictum longifolium,(Sendtn.) Dunal,variety,synonym
3797682,,7299228,Cestrum amictum organense,(Miers) Dunal,variety,synonym
7884489,,7299228,Cestrum bracteatum amictum,(Schltr.) Sendtn.,variety,synonym
3797693,,7299228,Cestrum amictum longiflorum,(Sendtn.) Dunal,variety,synonym
3802103,,7300002,Cestrum obovatum brevicalyx,Dunal,variety,synonym
7524132,,7300002,Cestrum obovatum brevicalyx,Sendtn.,variety,synonym
8604250,,3801179,Cestrum strictum,Schott,species,homotypic synonym
3802846,,7300095,Cestrum intermedium virgatum,Witasek,variety,synonym
3796930,,7300095,Cestrum cuspidatum,Sendtn.,species,synonym
8478771,,3797437,Cestrum tomentosum,Moc. & Sessé,species,homotypic synonym
7591786,,3797437,Cestrum tomentosum,Moc. & Sessé ex Dunal,species,heterotypic synonym
3803136,,3797437,Habrothamnus tomentosus,Benth.,species,synonym
5581191,,3797437,Meyenia tomentosa,(Benth.) Heynh.,species,synonym
3796850,,7972104,Cestrum diasae,Pittier,species,synonym
7299149,,7972104,Cestrum densiflorum,Francey,species,synonym
8910694,,7972104,Cestrum miersianum,Francey,species,synonym
8585186,,7972104,Cestrum granadense,Willd.,species,homotypic synonym
3802295,,7972104,Cestrum miersianum,Wedd.,species,synonym
11307694,,7972104,Cestrum hirsutum,M.Martens & Galeotti,species,synonym
7648179,,7972104,Cestrum granadense,Willd. ex Roem. & Schult.,species,synonym
8324575,,7972104,Cestrum miersianum,Pittier,species,synonym
7585119,,7972104,Cestrum neomiersianum,Benítez,species,synonym
3796877,,7972104,Cestrum densiflorum puberulum,Francey,variety,synonym
3802937,,7972104,Cestrum hirsutum,Jacq.,species,synonym
3797724,,7972104,Cestrum ambatense,Francey,species,synonym
3802333,,7972104,Cestrum meridanum,Pittier,species,synonym
3802704,,7972104,Cestrum lanatum,M.Martens & Galeotti,species,synonym
3800765,,7972104,Cestrum verbascifolium,Zucc. ex Francey,species,synonym
7915672,,7972104,Cestrum moritzii,Dunal,species,synonym
8486383,,7972104,Cestrum verbascifolium,Zucc.,species,homotypic synonym
3802653,,7972104,Cestrum lanuginosum,Ruiz & Pav.,species,synonym
3802989,,7300116,Cestrum hartwegii pubescens,N.E.Br.,variety,synonym
3803283,,7300116,Cestrum fasciculatum gracile,Schltdl.,variety,synonym
3803191,,7300116,Habrothamnus fasciculatus,Benth.,species,heterotypic synonym
3802993,,7300116,Cestrum hartwegii pedicellatum,Francey,variety,synonym
3803186,,7300116,Habrothamnus hartwegii,(Dunal) Seem.,species,synonym
3797036,,7464589,Cestrum confertum grandifolium,Francey,variety,synonym
8041413,,7464589,Cestrum confertum,Ruiz & Pav.,species,heterotypic synonym
3800722,,3802257,Cestrum viminale,Sendtn.,species,synonym
3800495,,3802505,Lomeria purpurea,Raf.,species,synonym
8667845,,3800696,Cestrum viride,Moric.,species,homotypic synonym
3800959,,8123303,Cestrum toledoi,Carvalho & Schnoor,species,synonym
3797121,,8123303,Sessea brasiliensis,Toledo,species,synonym
8415950,,,Cestrum strigillatum brevitubulata,Guaranha,variety,accepted
3797226,,7299866,Cestrum calycinum tenuiflorum,Francey,variety,synonym
7299198,,7299866,Cestrum calycinum,Willd. ex Roem. & Schult.,species,synonym
3802468,,7299866,Cestrum lundianum,Dunal,species,synonym
3797185,,7299866,Cestrum cancellatum,Dunal,species,synonym
7299867,,,Cestrum strigillatum strigillatum,,variety,accepted
