uuid,code,name,country,altCodes
9443e624-7071-4d54-b05d-a69c268bfe15,CNR-IRSA,Consiglio Nazionale delle Ricerche - Istituto di Ricerca sulle Acque - Verbania,IT,[]
a37b1769-dfa8-41c2-b417-bb2fc3aaa81a,SEL,Station d'Ecologie de Lamto,CI,[]
543ce1ab-52c4-4610-a11e-42ef4f9e78bf,VMO,Museum of Oceanography,VN,[]
769e039d-fcd4-49cf-94fd-d12b3fa6cc95,FP,Universiti Pendidikan Sultan Idris,MY,[]
1c6cc552-5068-4c1d-9c37-7539cf1701e3,TESH,"Technological Institute of Higher Studies of Huixquilucan, National Technological of Mexico",MX,[]
45275a59-f734-4a19-afbf-9edac5af100b,LUMH,Lorestan University of Medical Sciences,IR,[]
509e4fe2-ff3e-4242-a34c-c428aebd62f9,TBGH,"Telangana Botanical Garden, Dr. BRR Government Degree College, Jadcherla",IN,[]
6bacc7ab-86fe-4ef3-94f8-3772d0dca10b,ABUH,"Ahmadu Bello University, Zaria",NG,['ABU']
f7791fc0-0d22-4f75-b30d-0180d5b10843,MMUIWV,Maturango Museum of the Indian Wells Valley,US,[]
18f9c03c-eb28-42a9-945f-5d2bb029eb90,CSIRNEIST,"CSIR-North East Institute of Science and Technology, Jorhat - 785006, Assam",IN,[]
66f3ec89-554b-4332-8684-f1d596759a47,TC,National Botanical Garden of Türkiye,TR,[]
5838e55e-662d-452a-a9d3-4057be72b28e,MIMB,"A.V. Zhirmunsky National Scientific Center of Marine Biology Far Eastern Branch, Russian Academy of Sciences (NSCMB FEB RAS)",RU,[]
27f50e41-7349-47ce-96e4-e3ef06232f33,EPL,Cornwall College,GB,[]
8f1b938b-08a6-43f4-9976-da6f2f3240b7,ABHCH,"Laboratory of Natural Resource Valorisation, SNV Faculty, Setif 1 University, 19000 Setif, Algeria",DZ,[]
f5151fb9-1e47-4ec5-a0b0-8e82a717018f,GFGCRBG,"Department of Collegiate Education Department of Botany Government First Grade College, Raibag",IN,[]
c6dd4cb1-c7ad-493e-a2b1-6a173f053a80,ION,Institute of Oceanography,VN,[]
d2b86bbc-feaa-444b-b2e4-743438df7817,GMCGC,Goshen College,US,[]
cddd1652-03bb-4cd1-8ccf-cf4389f368db,BSMUPH,Belarusian State Medical University,BY,[]
ae9eff89-57d6-4266-b597-013a2a9db7c7,IT,University of Campania Luigi Vanvitelli,IT,[]
447da39c-0781-44b2-b61f-241363a2b760,CONCF,Universidad de Concepción,CL,[]
cf92b983-3c7b-4083-9c00-b2fbc354de7c,LAMUA,Universidad de la Amazonia,CO,[]
00a2fc15-84c4-4a7e-8d77-c9cbea5d8eb3,HEPE,INTA EEA Pergamino,AR,[]
